,0,1
"(2490688, 'F18')",1.2945364518594957,-0.3645957605360792
"(2490688, 'C22')",-6.720405973970227,-0.8437157385971537
"(2490688, 'D20')",-6.650348059589631,-8.411248301851153
"(2490688, 'H18')",1.134461009123924,1.8326754958994518
"(2490688, 'E08')",-16.2075230703308,0.09861421327675718
"(2490688, 'M10')",-15.4946213333177,17.011380459869926
"(2490688, 'G08')",-2.294432483644448,0.0859768022871003
"(2490688, 'L14')",1.0325834636596782,3.148210622864888
"(2490688, 'N10')",-16.04690268656292,0.9294239023064106
"(2490688, 'K18')",-22.65556636081962,5.56670306320623
"(2490688, 'L20')",-8.51135285451731,-4.090576442608766
"(2490688, 'N16')",-4.816129553360539,-2.1157371454180733
"(2490688, 'K08')",-17.64978675612371,-2.261331358167334
"(2490688, 'E14')",-14.168108034455695,-3.762144932673403
"(2490688, 'J13')",-7.859105824531479,-6.216489814981398
"(2490688, 'E22')",-9.781110593394487,-3.1313488880469094
"(2490688, 'I15')",-11.95514643696605,2.3116815967537376
"(2490688, 'L21')",-3.8294928743944263,-1.2840456312961446
"(2490688, 'G21')",-15.346343673542947,4.000236623107044
"(2490688, 'C13')",-21.61237678247219,2.178010206782613
"(2490688, 'E21')",-16.134680387228393,-2.135956640729003
"(2490688, 'K17')",-20.284083000364223,-0.42165426450165994
"(2490688, 'D21')",-11.621000819354505,-2.3815099430841107
"(2490688, 'G11')",-10.337068947026564,-3.2800252855716754
"(2490688, 'C20')",-11.98416687476372,-3.5945485241147703
"(2490688, 'J04')",-5.204806609139928,-1.356889405779953
"(2490688, 'J17')",-0.35139702736531864,0.5748747882512422
"(2490688, 'H06')",-1.8705816172400196,-0.6692174548165963
"(2490688, 'E05')",-14.463325042513748,-1.7139992401608726
"(2490688, 'L04')",-13.899263078421455,0.9473986946369846
"(2490688, 'G07')",-4.44000197694861,-3.78212866776666
"(2490688, 'K12')",-17.837845779362166,9.355092283450348
"(2490688, 'H20')",0.9946363605531259,4.128282828172124
"(2490688, 'J22')",-0.9865228008953196,2.7571931002008565
"(2490688, 'F05')",-2.5443946590430966,-0.7368055907601835
"(2490688, 'M05')",-22.993945578619183,8.257931619780086
"(2490688, 'D11')",-5.872924444498812,-1.1950329858580875
"(2490688, 'G10')",-13.528639257976005,0.012221129104542887
"(2490688, 'K06')",-8.425469957072924,-1.561460777683802
"(2490688, 'C21')",-17.541493195223474,0.06846877209312446
"(2490688, 'F08')",-1.6866353762352788,4.214929069446284
"(2490688, 'E13')",-20.508442547863513,6.681818643928112
"(2490688, 'F22')",-10.590002939194251,0.05127581500905975
"(2490688, 'C15')",-8.419954281712297,-0.32166245507472774
"(2490688, 'L16')",-0.1701540410366981,8.017532771411492
"(2490688, 'I18')",-14.26586745279285,-0.4835474222882227
"(2490688, 'H13')",-3.285525806554715,-3.4346559064299282
"(2490688, 'C03')",-11.914217705330966,-5.253922268737475
"(2490688, 'J11')",0.05756584720815711,2.5327578604680627
"(2490688, 'L03')",-24.98137896725008,8.346115259693546
"(2490688, 'H04')",-3.387727123347045,-3.4244125386305506
"(2490688, 'D05')",-9.928125667863315,-1.9886445667886248
"(2490688, 'L17')",-2.575354160283183,2.984609571131714
"(2490688, 'G16')",-16.52074235078607,-0.7915517192113739
"(2490688, 'G17')",-21.676760397388705,1.613992706439959
"(2490688, 'F06')",1.2452773175899474,1.5168111755406235
"(2490688, 'H11')",-5.678945821234432,-4.168150706289966
"(2490688, 'E20')",-14.009045379463084,-1.820227025750121
"(2490688, 'N03')",-10.020211542039467,-5.09709119277832
"(2490688, 'M11')",-17.29782260697664,6.584343219744301
"(2490688, 'E07')",-17.982093044108517,3.0956001107730047
"(2490688, 'H17')",-1.2065917155886627,0.6898490527650796
"(2490688, 'F21')",-3.632468768460835,1.3715090782392612
"(2490688, 'N21')",-12.074604806446066,-2.0799584862801983
"(2490688, 'I17')",-10.189920698287306,-4.0702601982322975
"(2490688, 'J06')",2.1229797774603028,1.7813830804248936
"(2490688, 'K20')",-9.698339660601743,-0.03506400600759264
"(2490688, 'M21')",-15.087178244945928,23.507606208378334
"(2490688, 'E06')",-16.909512043834436,-2.2473492998932665
"(2490688, 'J16')",-2.8847373703357913,5.142377744321831
"(2490688, 'L05')",-9.680199165384044,-5.097111112134099
"(2490688, 'D09')",4.001603923311444,6.508930613908004
"(2490688, 'G13')",-14.931269365058736,-1.9145434955844782
"(2490688, 'G14')",-9.753978214241787,-4.428169482413994
"(2490688, 'E11')",-19.842542176853225,6.121477496188339
"(2490688, 'C16')",-9.943638575949453,-1.5445010257635745
"(2490688, 'M08')",-17.953642004690316,15.540663884569618
"(2490688, 'M06')",-25.459556656044782,7.344070515737146
"(2490688, 'F19')",-13.874441524978442,-3.858846218396772
"(2490688, 'D03')",-12.752864880231316,-2.6927677903132317
"(2490688, 'G19')",-26.650325758094173,6.531518139432089
"(2490688, 'K16')",-18.068000362051727,0.5519605642463442
"(2490688, 'E10')",-13.922691710779645,-2.997591263074118
"(2490688, 'I10')",-11.887852260269046,-4.577852786433775
"(2490688, 'C18')",-5.8285806262094875,-2.054222741166454
"(2490688, 'D14')",1.7134867314405542,0.9672389507901739
"(2490688, 'H22')",-3.9117932450179373,1.124695495407764
"(2490688, 'D04')",-2.9685460591863375,5.636044127256952
"(2490688, 'M20')",-20.757504413452466,1.0701495895740991
"(2490688, 'H07')",-3.0810501447223806,-2.475921632672974
"(2490688, 'N12')",-7.261817842564701,-2.008651736219998
"(2490688, 'H16')",-0.48375126577652505,7.31553594370935
"(2490688, 'N08')",-9.348625766453752,-3.719637035245724
"(2490688, 'N19')",-4.442718147857205,0.12149621012786027
"(2490688, 'K15')",-20.310155683497683,2.783535293366881
"(2490688, 'I21')",-11.76525764542173,-3.3813466300845043
"(2490688, 'F20')",-5.79956111539766,-1.8697016563721602
"(2490688, 'M04')",-22.03348564111912,2.5921997530213683
"(2490688, 'D19')",2.1092946951924323,4.677705270850498
"(2490688, 'N14')",0.7910946336188633,4.775825100848834
"(2490688, 'I22')",-6.143590847579691,-4.887022345992469
"(2490688, 'I13')",-21.177773301239156,1.9888374471694175
"(2490688, 'I20')",-17.190141188384114,19.911075721693418
"(2490688, 'I11')",-9.302986006738433,-1.7130602061800293
"(2490688, 'F16')",5.32100995585912,2.550425495886749
"(2490688, 'L15')",-0.5906137153454961,0.27195440935879683
"(2490688, 'K14')",-14.900687914647694,6.292863846999313
"(2490688, 'N11')",-13.196267272895444,-4.795263087276322
"(2490688, 'K11')",-18.742379069666512,2.173993910678533
"(2490688, 'C12')",-21.665317368582635,6.302568460474421
"(2490688, 'N09')",-14.406644706643487,-2.5255949739528103
"(2490688, 'G09')",-2.197457630084084,0.6352981970009379
"(2490688, 'M18')",-27.65515782936439,13.036035036056644
"(2490688, 'N06')",-0.8378563440876347,0.06864745511611403
"(2490688, 'H12')",-3.947457433575888,-2.1116576734414254
"(2490688, 'E15')",-16.174356272068454,-0.9725747679393807
"(2490688, 'D22')",-0.5066177380374873,0.39617216429492697
"(2490688, 'D16')",1.114335193238013,0.7135917147781625
"(2490688, 'F11')",-2.5675049011094044,1.2420003618054385
"(2490688, 'E12')",-18.10549582044851,-2.065865262560453
"(2490688, 'N05')",-0.9399507881427424,0.2507801118101504
"(2490688, 'G20')",-15.385305181895045,-4.115105925981831
"(2490688, 'H05')",-4.127104005615323,-3.789878231467943
"(2490688, 'M19')",-21.69953365031877,7.243644254167327
"(2490688, 'J08')",-3.9254140541268536,-0.7780915789443418
"(2490688, 'N22')",-3.692929583514543,-2.34867430689175
"(2490688, 'N17')",2.9072380282659025,4.7898444870775885
"(2490688, 'G03')",-5.538332091686737,-0.7322189432353161
"(2490688, 'J18')",1.069456735189891,-2.441228511643782
"(2490688, 'J19')",-0.24995955842599857,3.7178734673081526
